2020-07-20 15:30:56 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2020-07-20 15:30:56 64 bytes from 8.8.8.8: icmp_seq=1 ttl=113 time=189 ms
2020-07-20 15:31:56 64 bytes from 8.8.8.8: icmp_seq=2 ttl=113 time=71.6 ms
2020-07-20 15:32:56 64 bytes from 8.8.8.8: icmp_seq=3 ttl=113 time=63.0 ms
2020-07-20 15:33:56 64 bytes from 8.8.8.8: icmp_seq=4 ttl=113 time=52.1 ms
2020-07-20 15:34:56 64 bytes from 8.8.8.8: icmp_seq=5 ttl=113 time=230 ms
2020-07-20 15:35:56 64 bytes from 8.8.8.8: icmp_seq=6 ttl=113 time=240 ms
2020-07-20 15:36:56 64 bytes from 8.8.8.8: icmp_seq=7 ttl=113 time=76.9 ms
2020-07-20 15:37:56 64 bytes from 8.8.8.8: icmp_seq=8 ttl=113 time=64.1 ms
2020-07-20 15:38:56 64 bytes from 8.8.8.8: icmp_seq=9 ttl=113 time=196 ms
2020-07-20 15:39:56 64 bytes from 8.8.8.8: icmp_seq=10 ttl=113 time=124 ms
2020-07-20 15:40:56 64 bytes from 8.8.8.8: icmp_seq=11 ttl=113 time=95.6 ms
2020-07-20 15:41:56 64 bytes from 8.8.8.8: icmp_seq=12 ttl=113 time=96.0 ms
2020-07-20 15:42:56 64 bytes from 8.8.8.8: icmp_seq=13 ttl=113 time=78.6 ms
